Year,Gender,Cohort,State,Drivers
1994,Female,Under 16,Pennsylvania,0
1994,Male,16,Pennsylvania,21596
1994,Male,17,Pennsylvania,39873
1994,Male,18,Pennsylvania,52300
1994,Male,19,Pennsylvania,58680
1994,Male,20,Pennsylvania,59684
1994,Male,21,Pennsylvania,60913
1994,Male,22,Pennsylvania,65666
1994,Male,23,Pennsylvania,73896
1994,Male,24,Pennsylvania,75884
1994,Male,25-29,Pennsylvania,379843
1994,Male,30-34,Pennsylvania,433457
1994,Male,35-39,Pennsylvania,461225
1994,Male,40-44,Pennsylvania,432726
1994,Male,45-49,Pennsylvania,384865
1994,Male,50-54,Pennsylvania,304210
1994,Male,55-59,Pennsylvania,252530
1994,Male,60-64,Pennsylvania,240055
1994,Male,65-69,Pennsylvania,247918
1994,Male,70-74,Pennsylvania,218927
1994,Male,75-79,Pennsylvania,155831
1994,Male,80-84,Pennsylvania,88482
1994,Male,85+,Pennsylvania,42729
1994,Female,Under 16,Pennsylvania,0
1994,Female,16,Pennsylvania,17556
1994,Female,17,Pennsylvania,34317
1994,Female,18,Pennsylvania,45267
1994,Female,19,Pennsylvania,51687
1994,Female,20,Pennsylvania,53894
1994,Female,21,Pennsylvania,56562
1994,Female,22,Pennsylvania,61280
1994,Female,23,Pennsylvania,69296
1994,Female,24,Pennsylvania,72285
1994,Female,25-29,Pennsylvania,367826
1994,Female,30-34,Pennsylvania,429514
1994,Female,35-39,Pennsylvania,459898
1994,Female,40-44,Pennsylvania,426145
1994,Female,45-49,Pennsylvania,376468
1994,Female,50-54,Pennsylvania,292381
1994,Female,55-59,Pennsylvania,241185
1994,Female,60-64,Pennsylvania,226446
1994,Female,65-69,Pennsylvania,233524
1994,Female,70-74,Pennsylvania,206055
1994,Female,75-79,Pennsylvania,141786
1994,Female,80-84,Pennsylvania,73357
1994,Female,85+,Pennsylvania,27055
1995,Male,Under 20,Pennsylvania,178788
1995,Male,20-24,Pennsylvania,321678
1995,Male,25-29,Pennsylvania,377580
1995,Male,30-34,Pennsylvania,426000
1995,Male,35-39,Pennsylvania,460416
1995,Male,40-44,Pennsylvania,443339
1995,Male,45-49,Pennsylvania,398401
1995,Male,50-54,Pennsylvania,314394
1995,Male,55-59,Pennsylvania,254942
1995,Male,60-64,Pennsylvania,235366
1995,Male,65-69,Pennsylvania,242252
1995,Male,70-74,Pennsylvania,215338
1995,Male,75-79,Pennsylvania,157597
1995,Male,80-84,Pennsylvania,89010
1995,Male,85+,Pennsylvania,42513
1995,Female,Under 20,Pennsylvania,154455
1995,Female,20-24,Pennsylvania,300840
1995,Female,25-29,Pennsylvania,366694
1995,Female,30-34,Pennsylvania,421352
1995,Female,35-39,Pennsylvania,460753
1995,Female,40-44,Pennsylvania,437437
1995,Female,45-49,Pennsylvania,391213
1995,Female,50-54,Pennsylvania,303519
1995,Female,55-59,Pennsylvania,245463
1995,Female,60-64,Pennsylvania,223949
1995,Female,65-69,Pennsylvania,231244
1995,Female,70-74,Pennsylvania,207021
1995,Female,75-79,Pennsylvania,147177
1995,Female,80-84,Pennsylvania,76419
1995,Female,85+,Pennsylvania,28905
1996,Male,Under 16,Pennsylvania,0
1996,Male,16,Pennsylvania,26665
1996,Male,17,Pennsylvania,46897
1996,Male,18,Pennsylvania,57253
1996,Male,19,Pennsylvania,62505
1996,Male,20,Pennsylvania,59019
1996,Male,21,Pennsylvania,60253
1996,Male,22,Pennsylvania,63361
1996,Male,23,Pennsylvania,65859
1996,Male,24,Pennsylvania,65846
1996,Male,25-29,Pennsylvania,377955
1996,Male,30-34,Pennsylvania,416763
1996,Male,35-39,Pennsylvania,462768
1996,Male,40-44,Pennsylvania,451142
1996,Male,45-49,Pennsylvania,408872
1996,Male,50-54,Pennsylvania,328374
1996,Male,55-59,Pennsylvania,261237
1996,Male,60-64,Pennsylvania,232556
1996,Male,65-69,Pennsylvania,235713
1996,Male,70-74,Pennsylvania,211026
1996,Male,75-79,Pennsylvania,155926
1996,Male,80-84,Pennsylvania,87428
1996,Male,85+,Pennsylvania,39746
1996,Female,Under 16,Pennsylvania,0
1996,Female,16,Pennsylvania,22229
1996,Female,17,Pennsylvania,41450
1996,Female,18,Pennsylvania,50180
1996,Female,19,Pennsylvania,55207
1996,Female,20,Pennsylvania,54130
1996,Female,21,Pennsylvania,56355
1996,Female,22,Pennsylvania,59531
1996,Female,23,Pennsylvania,62554
1996,Female,24,Pennsylvania,63030
1996,Female,25-29,Pennsylvania,366917
1996,Female,30-34,Pennsylvania,412916
1996,Female,35-39,Pennsylvania,462134
1996,Female,40-44,Pennsylvania,446799
1996,Female,45-49,Pennsylvania,402572
1996,Female,50-54,Pennsylvania,318504
1996,Female,55-59,Pennsylvania,253924
1996,Female,60-64,Pennsylvania,223640
1996,Female,65-69,Pennsylvania,228327
1996,Female,70-74,Pennsylvania,206051
1996,Female,75-79,Pennsylvania,150675
1996,Female,80-84,Pennsylvania,78218
1996,Female,85+,Pennsylvania,28636
1997,Male,Under 16,Pennsylvania,0
1997,Male,16,Pennsylvania,26705
1997,Male,17,Pennsylvania,48635
1997,Male,18,Pennsylvania,59625
1997,Male,19,Pennsylvania,63346
1997,Male,20,Pennsylvania,62775
1997,Male,21,Pennsylvania,60600
1997,Male,22,Pennsylvania,62699
1997,Male,23,Pennsylvania,66058
1997,Male,24,Pennsylvania,63110
1997,Male,25-29,Pennsylvania,372424
1997,Male,30-34,Pennsylvania,408513
1997,Male,35-39,Pennsylvania,456046
1997,Male,40-44,Pennsylvania,459102
1997,Male,45-49,Pennsylvania,412450
1997,Male,50-54,Pennsylvania,346268
1997,Male,55-59,Pennsylvania,274351
1997,Male,60-64,Pennsylvania,231974
1997,Male,65-69,Pennsylvania,227907
1997,Male,70-74,Pennsylvania,213895
1997,Male,75-79,Pennsylvania,160980
1997,Male,80-84,Pennsylvania,93379
1997,Male,85+,Pennsylvania,44831
1997,Female,Under 16,Pennsylvania,0
1997,Female,16,Pennsylvania,22438
1997,Female,17,Pennsylvania,42624
1997,Female,18,Pennsylvania,53302
1997,Female,19,Pennsylvania,56365
1997,Female,20,Pennsylvania,57534
1997,Female,21,Pennsylvania,57028
1997,Female,22,Pennsylvania,59672
1997,Female,23,Pennsylvania,62679
1997,Female,24,Pennsylvania,61193
1997,Female,25-29,Pennsylvania,361936
1997,Female,30-34,Pennsylvania,404892
1997,Female,35-39,Pennsylvania,455691
1997,Female,40-44,Pennsylvania,455328
1997,Female,45-49,Pennsylvania,406545
1997,Female,50-54,Pennsylvania,338990
1997,Female,55-59,Pennsylvania,268061
1997,Female,60-64,Pennsylvania,225136
1997,Female,65-69,Pennsylvania,223381
1997,Female,70-74,Pennsylvania,211038
1997,Female,75-79,Pennsylvania,158689
1997,Female,80-84,Pennsylvania,85823
1997,Female,85+,Pennsylvania,33697
1998,Male,Under 16,Pennsylvania,0
1998,Male,16,Pennsylvania,25707
1998,Male,17,Pennsylvania,45021
1998,Male,18,Pennsylvania,60285
1998,Male,19,Pennsylvania,65027
