period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2022-03,SPA,USA-PA,EPMR,Regular Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMR_PWG_SPA_DPG,Pennsylvania Regular Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),3.063,$/GAL
2022-03,SPA,USA-PA,EPMP,Premium Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMP_PWG_SPA_DPG,Pennsylvania Premium Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),3.331,$/GAL
2022-03,SPA,USA-PA,EPM0,Total Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPM0_PWG_SPA_DPG,Pennsylvania Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),3.086,$/GAL
2022-03,SPA,USA-PA,EPMM,Midgrade Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMM_PWG_SPA_DPG,Pennsylvania Gasoline Midgrade Wholesale/Resale Price by Refiners (Dollars per Gallon),3.161,$/GAL
2022-02,SPA,USA-PA,EPMP,Premium Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMP_PWG_SPA_DPG,Pennsylvania Premium Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.811,$/GAL
2022-02,SPA,USA-PA,EPM0,Total Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPM0_PWG_SPA_DPG,Pennsylvania Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.598,$/GAL
2022-02,SPA,USA-PA,EPMM,Midgrade Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMM_PWG_SPA_DPG,Pennsylvania Gasoline Midgrade Wholesale/Resale Price by Refiners (Dollars per Gallon),2.647,$/GAL
2022-02,SPA,USA-PA,EPMR,Regular Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMR_PWG_SPA_DPG,Pennsylvania Regular Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.58,$/GAL
2022-01,SPA,USA-PA,EPMP,Premium Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMP_PWG_SPA_DPG,Pennsylvania Premium Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.558,$/GAL
2022-01,SPA,USA-PA,EPMR,Regular Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMR_PWG_SPA_DPG,Pennsylvania Regular Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.32,$/GAL
2022-01,SPA,USA-PA,EPMM,Midgrade Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMM_PWG_SPA_DPG,Pennsylvania Gasoline Midgrade Wholesale/Resale Price by Refiners (Dollars per Gallon),2.433,$/GAL
2022-01,SPA,USA-PA,EPM0,Total Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPM0_PWG_SPA_DPG,Pennsylvania Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.341,$/GAL
2021-12,SPA,USA-PA,EPM0,Total Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPM0_PWG_SPA_DPG,Pennsylvania Total Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.22,$/GAL
2021-12,SPA,USA-PA,EPMR,Regular Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMR_PWG_SPA_DPG,Pennsylvania Regular Gasoline Wholesale/Resale Price by Refiners (Dollars per Gallon),2.193,$/GAL
2021-12,SPA,USA-PA,EPMM,Midgrade Gasoline,PWG,Wholesale/Resale Price by Refiners and Gas Plants,EMA_EPMM_PWG_SPA_DPG,Pennsylvania Gasoline Midgrade Wholesale/Resale Price by Refiners (Dollars per Gallon),2.362,$/GAL
