Date,Open,High,Low,Close,Volume
2024-09-27,13.36,13.39,12.74,12.84,"10,160,490"
2024-09-26,13.66,13.79,13.1,13.28,"9,942,657"
2024-09-25,13.38,13.68,13.3,13.35,"9,489,568"
2024-09-24,12.98,13.39,12.94,13.33,"14,273,590"
2024-09-23,12.54,12.75,12.37,12.72,"8,891,526"
2024-09-20,12.44,12.66,12.32,12.47,"19,941,350"
2024-09-19,12.65,12.79,12.41,12.53,"11,163,880"
2024-09-18,12.29,12.66,12.11,12.17,"11,079,470"
2024-09-17,11.86,12.31,11.7,12.25,"14,684,130"
2024-09-16,11.32,11.77,11.32,11.68,"11,636,460"
2024-09-13,11.43,11.52,11.04,11.35,"21,496,891"
2024-09-12,11.96,12.07,11.61,11.62,"11,672,270"
2024-09-11,11.22,11.97,11.07,11.95,"14,523,340"
2024-09-10,10.86,11.58,10.62,11.27,"15,124,050"
2024-09-09,11.08,11.18,10.72,10.8,"10,120,230"
2024-09-06,11.24,11.58,10.92,11.06,"9,280,513"
2024-09-05,11.26,11.89,11.16,11.25,"10,283,410"
2024-09-04,11.28,11.7,11.22,11.34,"6,694,050"
2024-09-03,11.65,11.87,11.26,11.35,"9,608,710"
2024-08-30,11.6,11.8,11.49,11.67,"8,450,131"
2024-08-29,11.55,11.69,11.34,11.55,"7,295,434"
2024-08-28,11.52,11.58,11.27,11.46,"8,257,560"
2024-08-27,11.76,11.76,11.48,11.62,"9,434,205"
2024-08-26,11.77,11.95,11.58,11.78,"11,430,650"
2024-08-23,11.54,11.76,11.24,11.68,"13,925,560"
2024-08-22,11.68,11.82,11.43,11.47,"9,458,588"
2024-08-21,11.45,11.77,11.22,11.69,"13,349,340"
2024-08-20,11.54,11.75,11.28,11.29,"13,298,150"
2024-08-19,11.24,11.88,11.19,11.6,"16,150,110"
2024-08-16,10.71,11.55,10.68,11.2,"18,794,980"
2024-08-15,10.37,10.86,10.33,10.81,"17,785,330"
2024-08-14,10.24,10.29,9.88,10.08,"10,306,800"
2024-08-13,9.74,10.08,9.68,10.06,"14,601,810"
2024-08-12,9.72,9.83,9.53,9.71,"13,006,340"
2024-08-09,10.06,10.17,9.56,9.76,"18,735,439"
