,Number
2014-01-01,5948
2014-02-01,6094
2014-03-01,6307
2014-04-01,6474
2014-05-01,6646
2014-06-01,6839
2014-07-01,7010
2014-08-01,7429
2014-09-01,7674
2014-10-01,8056
2014-11-01,8288
2014-12-01,8568
2015-01-01,9127
2015-02-01,9538
2015-03-01,10014
2015-04-01,10518
2015-05-01,10944
2015-06-01,11459
2015-07-01,11770
2015-08-01,12246
2015-09-01,12579
2015-10-01,13105
2015-11-01,13545
2015-12-01,13951
2016-01-01,14423
2016-02-01,14842
2016-03-01,15260
2016-04-01,15574
2016-05-01,15952
2016-06-01,16344
2016-07-01,16733
2016-08-01,17090
2016-09-01,17524
2016-10-01,17970
2016-11-01,18380
2016-12-01,19014
2017-01-01,19632
2017-02-01,19998
2017-03-01,20390
2017-04-01,20789
2017-05-01,21262
2017-06-01,21790
2017-07-01,22309
2017-08-01,22869
2017-09-01,23626
2017-10-01,24249
2017-11-01,24917
2017-12-01,25718
2018-01-01,26390
2018-02-01,26942
2018-03-01,28215
2018-04-01,28902
2018-05-01,29904
2018-06-01,30741
2018-07-01,33007
2018-08-01,33653
2018-09-01,34231
2018-10-01,34914
2018-11-01,35481
2018-12-01,36542
2019-01-01,37234
2019-02-01,37910
2019-03-01,39675
2019-04-01,40772
2019-05-01,41441
2019-06-01,42129
2019-07-01,45876
2019-08-01,47010
2019-09-01,48692
2019-10-01,49616
2019-11-01,50666
2019-12-01,51563
2020-01-01,52943
2020-02-01,53957
2020-03-01,55356
2020-04-01,56221
2020-05-01,57139
2020-06-01,62249
2020-07-01,63442
2020-08-01,64665
2020-09-01,65758
2020-10-01,66958
2020-11-01,68424
2020-12-01,70336
2021-01-01,85615
2021-02-01,86786
2021-03-01,88122
2021-04-01,89724
2021-05-01,91551
2021-06-01,93167
2021-07-01,94803
2021-08-01,96677
2021-09-01,98717
2021-10-01,101585
2021-11-01,103993
2021-12-01,106494
2022-01-01,108209
2022-02-01,110215
2022-03-01,112932
2022-04-01,115499
2022-05-01,118596
2022-06-01,121108
2022-07-01,123395
2022-08-01,126119
2022-09-01,130836
2022-10-01,135309
2022-11-01,137944
2022-12-01,141474
2023-01-01,144313
2023-02-01,146901
2023-03-01,150415
2023-04-01,152984
2023-05-01,155873
2023-06-01,160987
2023-07-01,164143
2023-08-01,167921
2023-09-01,171565
2023-10-01,176261
2023-11-01,180107
2023-12-01,183277
2024-01-01,186350
2024-02-01,189012
2024-03-01,192395
2024-04-01,197315
2024-05-01,200997
2024-06-01,204406
2024-07-01,207548
2024-08-01,212726
