,Number
2014-01-01,58
2014-02-01,61
2014-03-01,85
2014-04-01,85
2014-05-01,97
2014-06-01,98
2014-07-01,98
2014-08-01,98
2014-09-01,103
2014-10-01,103
2014-11-01,105
2014-12-01,105
2015-01-01,105
2015-02-01,105
2015-03-01,105
2015-04-01,121
2015-05-01,122
2015-06-01,126
2015-07-01,134
2015-08-01,137
2015-09-01,137
2015-10-01,137
2015-11-01,138
2015-12-01,138
2016-01-01,138
2016-02-01,143
2016-03-01,150
2016-04-01,164
2016-05-01,175
2016-06-01,176
2016-07-01,187
2016-08-01,189
2016-09-01,203
2016-10-01,203
2016-11-01,211
2016-12-01,211
2017-01-01,214
2017-02-01,218
2017-03-01,223
2017-04-01,232
2017-05-01,232
2017-06-01,238
2017-07-01,241
2017-08-01,241
2017-09-01,249
2017-10-01,255
2017-11-01,261
2017-12-01,261
2018-01-01,267
2018-02-01,267
2018-03-01,267
2018-04-01,269
2018-05-01,269
2018-06-01,274
2018-07-01,306
2018-08-01,316
2018-09-01,322
2018-10-01,322
2018-11-01,342
2018-12-01,361
2019-01-01,383
2019-02-01,383
2019-03-01,383
2019-04-01,409
2019-05-01,414
2019-06-01,440
2019-07-01,440
2019-08-01,440
2019-09-01,444
2019-10-01,454
2019-11-01,461
2019-12-01,482
2020-01-01,507
2020-02-01,527
2020-03-01,535
2020-04-01,539
2020-05-01,557
2020-06-01,559
2020-07-01,581
2020-08-01,591
2020-09-01,600
2020-10-01,626
2020-11-01,643
2020-12-01,743
2021-01-01,743
2021-02-01,789
2021-03-01,807
2021-04-01,813
2021-05-01,840
2021-06-01,845
2021-07-01,867
2021-08-01,876
2021-09-01,878
2021-10-01,889
2021-11-01,901
2021-12-01,909
2022-01-01,912
2022-02-01,928
2022-03-01,972
2022-04-01,994
2022-05-01,1018
2022-06-01,1023
2022-07-01,1075
2022-08-01,1090
2022-09-01,1129
2022-10-01,1153
2022-11-01,1182
2022-12-01,1211
2023-01-01,1232
2023-02-01,1249
2023-03-01,1292
2023-04-01,1311
2023-05-01,1365
2023-06-01,1397
2023-07-01,1406
2023-08-01,1463
2023-09-01,1525
2023-10-01,1578
2023-11-01,1622
2023-12-01,1653
2024-01-01,1711
2024-02-01,1780
2024-03-01,1801
2024-04-01,1814
2024-05-01,1889
2024-06-01,1895
2024-07-01,1941
2024-08-01,2045
