Date,Open,High,Low,Close,Volume
2024-09-27,77.03,77.08,75.7,75.75,"7,580,133"
2024-09-26,78.36,78.45,75.13,76.69,"14,788,550"
2024-09-25,77.51,78.28,77.08,77.14,"12,552,600"
2024-09-24,76.0,77.51,75.97,77.44,"16,099,210"
2024-09-23,75.11,75.27,73.78,74.71,"8,285,323"
2024-09-20,74.82,75.05,73.45,73.94,"17,472,689"
2024-09-19,74.98,76.46,74.56,75.28,"17,698,449"
2024-09-18,72.77,74.74,72.19,73.5,"11,720,930"
2024-09-17,71.97,73.73,71.31,72.78,"14,639,820"
2024-09-16,72.36,72.5,71.04,71.52,"12,016,670"
2024-09-13,72.4,72.76,70.94,72.48,"30,376,490"
2024-09-12,70.06,70.49,67.85,68.09,"16,381,660"
2024-09-11,68.83,70.22,67.12,70.11,"14,671,860"
2024-09-10,70.0,70.46,67.64,68.99,"20,227,240"
2024-09-09,70.95,71.19,69.63,69.8,"8,804,605"
2024-09-06,71.13,72.02,68.73,69.58,"11,449,830"
2024-09-05,71.08,72.62,70.92,71.25,"8,890,860"
2024-09-04,71.52,72.69,71.3,71.56,"7,995,815"
2024-09-03,72.57,73.61,71.21,71.89,"13,049,700"
2024-08-30,72.89,73.42,72.06,73.13,"12,676,940"
2024-08-29,72.5,73.28,72.13,72.24,"9,300,785"
2024-08-28,72.5,72.55,71.02,71.85,"9,529,378"
2024-08-27,72.49,73.09,71.8,72.56,"7,294,117"
2024-08-26,74.3,74.3,72.11,72.61,"10,999,940"
2024-08-23,72.85,74.46,72.35,74.3,"13,065,550"
2024-08-22,73.55,74.12,72.67,73.31,"9,571,940"
2024-08-21,73.72,74.29,73.06,73.48,"9,290,198"
2024-08-20,74.27,74.48,73.28,73.31,"10,246,490"
2024-08-19,72.0,74.22,71.8,74.18,"13,821,270"
2024-08-16,72.5,73.35,71.76,72.04,"11,548,280"
2024-08-15,72.51,73.42,72.29,72.73,"13,711,340"
2024-08-14,71.6,72.0,70.61,71.93,"12,336,960"
2024-08-13,69.77,71.19,69.38,71.06,"15,472,550"
2024-08-12,68.61,69.31,68.02,69.26,"10,826,110"
2024-08-09,69.14,69.38,67.75,68.54,"12,770,320"
2024-08-08,66.53,69.17,65.95,69.01,"21,779,119"
2024-08-07,65.56,68.4,65.49,65.54,"31,493,570"
2024-08-06,62.55,65.82,60.5,64.87,"53,336,871"
2024-08-05,55.53,58.65,54.84,58.48,"31,038,300"
2024-08-02,59.38,59.58,56.86,58.99,"27,654,561"
2024-08-01,64.86,65.0,60.76,61.02,"18,967,939"
2024-07-31,63.88,65.18,63.66,64.47,"18,209,680"
2024-07-30,64.15,64.77,62.61,63.09,"16,506,189"
2024-07-29,64.84,65.26,63.72,63.76,"16,907,000"
2024-07-26,66.1,66.26,64.18,64.4,"17,379,449"
2024-07-25,66.0,69.37,64.4,65.74,"22,596,920"
2024-07-24,67.27,67.79,65.78,66.14,"15,187,120"
2024-07-23,68.05,69.1,67.28,67.52,"9,539,770"
2024-07-22,67.53,68.78,67.09,67.73,"13,407,990"
2024-07-19,66.78,67.44,66.1,67.31,"12,809,590"
2024-07-18,69.0,69.34,65.81,66.26,"21,988,920"
2024-07-17,73.38,73.41,68.56,68.62,"27,884,449"
2024-07-16,73.11,75.4,73.11,74.3,"17,529,000"
2024-07-15,73.06,73.25,70.76,72.29,"13,472,570"
2024-07-12,72.11,73.8,72.11,72.43,"14,683,660"
2024-07-11,69.51,73.65,68.85,73.53,"26,702,461"
2024-07-10,71.5,71.5,68.38,69.27,"14,638,750"
2024-07-09,71.4,72.28,71.13,71.32,"8,759,653"
2024-07-08,71.31,71.78,70.75,71.25,"7,231,051"
2024-07-05,70.99,71.42,70.39,71.06,"6,599,189"
2024-07-03,70.66,72.14,70.5,71.3,"7,869,781"
2024-07-02,71.25,71.26,68.88,70.67,"14,318,950"
2024-07-01,72.2,72.58,69.4,71.1,"13,438,730"
2024-06-28,70.81,73.26,70.77,72.68,"21,375,881"
2024-06-27,70.98,71.32,70.07,70.34,"9,650,481"
2024-06-26,70.94,71.6,70.55,70.85,"10,232,570"
2024-06-25,71.86,72.94,70.22,71.38,"18,911,561"
2024-06-24,69.83,71.23,69.75,70.54,"12,479,280"
2024-06-21,70.04,70.25,69.23,70.21,"20,913,320"
2024-06-20,70.51,71.12,69.73,70.3,"10,662,400"
2024-06-18,70.6,71.21,69.89,70.33,"9,511,579"
2024-06-17,69.91,70.83,69.83,70.49,"14,760,480"
2024-06-14,70.91,71.0,69.32,70.06,"11,601,130"
2024-06-13,73.16,73.16,70.24,70.86,"17,109,439"
2024-06-12,71.31,73.6,71.0,73.15,"24,435,500"
2024-06-11,68.6,69.6,67.76,69.59,"12,741,160"
2024-06-10,69.28,69.69,66.56,68.6,"19,168,881"
2024-06-07,68.9,69.71,68.11,69.31,"13,932,600"
2024-06-06,67.45,69.69,67.33,68.9,"25,871,480"
