merged_df
year-month,gas_value,monthly_ev_sales_with_noise,stock_price_close,stations_number,number_of_licensed_drivers,electricity_price
2014-01,3.392,0.0,0.0,5948.0,214092472.0,0.134
2014-02,3.43425,0.0,0.0,6094.0,214425138.08333300,0.134
2014-03,3.6058,0.0,0.0,6307.0,214757804.16666700,0.135
2014-04,3.7352500000000000,0.0,0.0,6474.0,215090470.25,0.131
2014-05,3.75,0.0,0.0,6646.0,215423136.33333300,0.136
2014-06,3.7660000000000000,0.0,0.0,6839.0,215755802.41666700,0.143
2014-07,3.68825,0.0,0.0,7010.0,216088468.5,0.143
2014-08,3.5645,0.0,0.0,7429.0,216421134.58333300,0.143
2014-09,3.4842,0.0,0.0,7674.0,216753800.66666700,0.141
2014-10,3.2545,0.0,0.0,8056.0,217086466.75,0.136
2014-11,2.99675,0.0,0.0,8288.0,217419132.83333300,0.134
2014-12,2.6324000000000000,0.0,0.0,8568.0,217751798.91666700,0.135
2015-01,2.2075,0.0,0.0,9127.0,218084465.0,0.138
2015-02,2.30075,0.0,0.0,9538.0,218386752.75,0.138
2015-03,2.5464000000000000,0.0,0.0,10014.0,218689040.5,0.136
2015-04,2.5547500000000000,0.0,0.0,10518.0,218991328.25,0.137
2015-05,2.80225,0.0,0.0,10944.0,219293616.0,0.137
2015-06,2.8848,0.0,0.0,11459.0,219595903.75,0.143
2015-07,2.8795,0.0,0.0,11770.0,219898191.5,0.142
2015-08,2.726,0.0,0.0,12246.0,220200479.25,0.142
2015-09,2.4615,0.0,0.0,12579.0,220502767.0,0.141
2015-10,2.38675,0.0,0.0,13105.0,220805054.75,0.136
2015-11,2.2602,0.0,0.0,13545.0,221107342.5,0.134
2015-12,2.14425,0.0,0.0,13951.0,221409630.25,0.133
2016-01,2.0565000000000000,0.0,0.0,14423.0,221711918.0,0.134
2016-02,1.8720000000000000,0.0,0.0,14842.0,221878201.91666700,0.134
2016-03,2.07075,0.0,0.0,15260.0,222044485.83333300,0.134
2016-04,2.21575,0.0,0.0,15574.0,222210769.75,0.134
2016-05,2.371,0.0,0.0,15952.0,222377053.66666700,0.133
2016-06,2.467,0.0,0.0,16344.0,222543337.58333300,0.138
2016-07,2.3450000000000000,0.0,0.0,16733.0,222709621.5,0.139
2016-08,2.2838000000000000,0.0,0.0,17090.0,222875905.41666700,0.139
2016-09,2.3265000000000000,0.0,0.0,17524.0,223042189.33333300,0.139
2016-10,2.3592,0.0,0.0,17970.0,223208473.25,0.134
2016-11,2.295,0.0,0.0,18380.0,223374757.16666700,0.131
2016-12,2.3655,0.0,0.0,19014.0,223541041.08333300,0.133
2017-01,2.4584,0.0,0.0,19632.0,223707325.0,0.134
2017-02,2.416,0.0,0.0,19998.0,223875189.58333300,0.135
2017-03,2.43675,0.0,0.0,20390.0,224043054.16666700,0.134
2017-04,2.5275,0.0,0.0,20789.0,224210918.75,0.135
2017-05,2.5026,0.0,0.0,21262.0,224378783.33333300,0.137
2017-06,2.46025,0.0,0.0,21790.0,224546647.91666700,0.142
2017-07,2.4144000000000000,0.0,0.0,22309.0,224714512.5,0.143
2017-08,2.4940000000000000,0.0,0.0,22869.0,224882377.08333300,0.142
2017-09,2.76125,0.0,0.0,23626.0,225050241.66666700,0.142
2017-10,2.621,0.0,0.0,24249.0,225218106.25,0.137
2017-11,2.6775,0.0,0.0,24917.0,225385970.83333300,0.136
2017-12,2.59375,0.0,0.0,25718.0,225553835.41666700,0.136
2018-01,2.6712,0.0,0.0,26390.0,225721700.0,0.135
2018-02,2.70475,0.0,0.0,26942.0,225987725.0,0.135
2018-03,2.709,0.0,0.0,28215.0,226253750.0,0.135
2018-04,2.8732000000000000,0.0,0.0,28902.0,226519775.0,0.134
2018-05,2.98675,0.0,0.0,29904.0,226785800.0,0.136
2018-06,2.9695,0.0,0.0,30741.0,227051825.0,0.139
2018-07,2.9278,0.0,0.0,33007.0,227317850.0,0.139
2018-08,2.91425,0.0,0.0,33653.0,227583875.0,0.139
2018-09,2.9147500000000000,0.0,0.0,34231.0,227849900.0,0.138
2018-10,2.9426000000000000,0.0,0.0,34914.0,228115925.0,0.136
2018-11,2.73575,0.0,0.0,35481.0,228381950.0,0.134
2018-12,2.4572,0.0,0.0,36542.0,228647975.0,0.135
2019-01,2.3375,0.0,0.0,37234.0,228914000.0,0.135
2019-02,2.39325,0.0,0.0,37910.0,228854166.66666700,0.136
2019-03,2.5942500000000000,0.0,0.0,39675.0,228794333.33333300,0.135
2019-04,2.8812,0.0,0.0,40772.0,228734500.0,0.135
2019-05,2.94625,0.0,0.0,41441.0,228674666.66666700,0.136
2019-06,2.8035,0.0,0.0,42129.0,228614833.33333300,0.139
2019-07,2.8232,0.0,0.0,45876.0,228555000.0,0.14
2019-08,2.70675,0.0,0.0,47010.0,228495166.66666700,0.139
2019-09,2.6814,0.0,30.38,48692.0,228435333.33333300,0.139
2019-10,2.724,0.0,31.252173913043500,49616.0,228375500.0,0.136
2019-11,2.69325,0.0,28.1855,50666.0,228315666.66666700,0.133
2019-12,2.645,0.0,29.342857142857100,51563.0,228255833.33333300,0.133
2020-01,2.6355,0.0,34.979523809523800,52943.0,228196000.0,0.134
2020-02,2.5325000000000000,0.0,38.46157894736840,53957.0,228578166.66666700,0.134
2020-03,2.3290000000000000,0.0,26.130454545454500,55356.0,228960333.33333300,0.134
2020-04,1.93825,0.0,27.579047619047600,56221.0,229342500.0,0.133
2020-05,1.9605000000000000,0.0,32.412,57139.0,229724666.66666700,0.134
2020-06,2.1696,0.0,33.45909090909090,62249.0,230106833.33333300,0.137
2020-07,2.2720000000000000,0.0,31.935,63442.0,230489000.0,0.137
2020-08,2.2722000000000000,0.0,31.687142857142900,64665.0,230871166.66666700,0.137
2020-09,2.2735,0.0,35.45666666666670,65758.0,231253333.33333300,0.137
2020-10,2.24825,0.0,35.65954545454550,66958.0,231635500.0,0.135
2020-11,2.1998,0.0,46.56,68424.0,232017666.66666700,0.136
2020-12,2.2835,0.0,52.38363636363640,70336.0,232399833.33333300,0.136
2021-01,2.4202500000000000,845.4193548387100,54.29526315789470,85615.0,232782000.0,0.136
2021-02,2.587,982.3571428571430,57.543684210526300,86786.0,232853833.33333300,0.137
2021-03,2.8976000000000000,1396.0967741935500,55.61043478260870,88122.0,232925666.66666700,0.138
2021-04,2.94775,1178.3,57.717619047619000,89724.0,232997500.0,0.139
2021-05,3.0762,1000.2903225806500,48.893,91551.0,233069333.33333300,0.14
2021-06,3.15675,1622.5666666666700,50.02590909090910,93167.0,233141166.66666700,0.142
2021-07,3.2305,1426.0645161290300,47.42857142857140,94803.0,233213000.0,0.143
2021-08,3.2554000000000000,1205.0645161290300,41.644090909090900,96677.0,233284833.33333300,0.144
2021-09,3.2715,1478.8,42.334545454545500,98717.0,233356666.66666700,0.144
2021-10,3.3842500000000000,1428.774193548390,46.340000000000000,101585.0,233428500.0,0.142
2021-11,3.4910000000000000,1635.0,43.66190476190480,103993.0,233500333.33333300,0.142
2021-12,3.406,1686.741935483870,39.49681818181820,106494.0,233572166.66666700,0.142
2022-01,3.4128,1457.1290322580600,39.571,108209.0,233644000.0,0.147
2022-02,3.6110000000000000,1762.9285714285700,36.1621052631579,110215.0,233874000.0,0.148
2022-03,4.32175,2180.935483870970,32.64,112932.0,234104000.0,0.15
